PA_Record_Type|PA_Payment_Record_Number|PA_Brand_Code|PA_Agency_Name|PA_Agency_Address_1|PA_Agency_Address_2|PA_Agency_Address_3|PA_Agency_City|PA_Agency_State_Province_Code|PA_Agency_Country_Code|PA_Agency_Postal_Code|PA_Agency_Phone_Number|PA_Agency_Payment_Currency
PA|190916000001|RF|SUPERIOR TRAVEL SERVICES INC|STE 319|123 WASHINGTON ST||OSWEGO|IL|US|60543|1-630-554-7896|USD
PA|190916000002|RF|SUPERIOR TRAVEL SERVICES INC|STE 319|123 WASHINGTON ST||OSWEGO|IL|US|60543|1-630-554-7896|USD
PA|190916000003|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000004|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000005|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000006|RF|BCD TRAVEL USA LLC|STE 350|45 NE LOOP 410||SAN ANTONIO|TX|US|78216|1-888-931-4545|USD
PA|190916000007|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000008|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000009|RF|TRIPACTIONS INC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000010|RF|TRIPACTIONS INC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000011|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000012|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000013|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000014|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000015|RF|TRAVEL & TRANSPORT INC|SUITE 700|2120 S 72ND STREET||OMAHA|NE|US|681246310|1-402-399-4500|USD
PA|190916000016|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000017|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000018|RF|EXECUTIVE TRAVEL INC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000019|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000020|RF|TOURIST BUREAU MARKETING INC.|428 E THUNDERBIRD RD|STE 247||PHOENIX|AZ|US|85022-5229|1-602-952-2106|USD
PA|190916000021|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000022|RF|SUPERIOR TRAVEL SERVICES INC|STE 319|123 WASHINGTON ST||OSWEGO|IL|US|60543|1-630-554-7896|USD
