Month of Order Date,Product Name,Sales
5/1/13,1.7 Cubic Foot Compact Cube Office Refrigerators,208
6/1/15,1.7 Cubic Foot Compact Cube Office Refrigerators,208
11/1/13,1.7 Cubic Foot Compact Cube Office Refrigerators,333
7/1/16,1.7 Cubic Foot Compact Cube Office Refrigerators,416
11/1/16,1.7 Cubic Foot Compact Cube Office Refrigerators,500
8/1/15,1.7 Cubic Foot Compact Cube Office Refrigerators,1041
11/1/13,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2 X 11 Cards, 25 Env./Pack",6
11/1/14,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2 X 11 Cards, 25 Env./Pack",44
12/1/14,3-ring staple pack,4
1/1/13,3-ring staple pack,6
8/1/14,3-ring staple pack,6
6/1/14,3-ring staple pack,8
12/1/16,3-ring staple pack,9
9/1/15,3-ring staple pack,11
8/1/15,3.6 Cubic Foot Counter Height Office Refrigerator,59
3/1/13,3.6 Cubic Foot Counter Height Office Refrigerator,177
12/1/16,3.6 Cubic Foot Counter Height Office Refrigerator,295
9/1/16,3.6 Cubic Foot Counter Height Office Refrigerator,943
8/1/16,3.6 Cubic Foot Counter Height Office Refrigerator,1473
10/1/16,"3D Systems Cube Printer, 2nd Generation, Magenta",5200
4/1/15,"3D Systems Cube Printer, 2nd Generation, Magenta",9100
11/1/16,"3D Systems Cube Printer, 2nd Generation, White",1040
9/1/13,"3D Systems Cube Printer, 2nd Generation, White",1300
12/1/14,3M Hangers With Command Adhesive,3
12/1/16,3M Hangers With Command Adhesive,10
6/1/13,3M Hangers With Command Adhesive,22
5/1/14,3M Hangers With Command Adhesive,22
4/1/16,3M Hangers With Command Adhesive,24
12/1/15,3M Hangers With Command Adhesive,27
12/1/14,3M Office Air Cleaner,104
7/1/16,3M Office Air Cleaner,156
7/1/14,3M Organizer Strips,6
4/1/16,3M Organizer Strips,8
11/1/16,3M Organizer Strips,9
11/1/13,3M Organizer Strips,13
9/1/16,3M Organizer Strips,21
3/1/16,3M Organizer Strips,26
3/1/14,3M Polarizing Light Filter Sleeves,22
11/1/15,3M Polarizing Light Filter Sleeves,37
5/1/15,3M Polarizing Light Filter Sleeves,45
12/1/15,3M Polarizing Light Filter Sleeves,112
11/1/15,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",274
4/1/16,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",274
9/1/13,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",822
11/1/16,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",822
12/1/14,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,53
9/1/14,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,61
4/1/14,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,76
4/1/15,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,114
12/1/16,"6 Cubicle Wall Clock, Black",10
